,num_layers_list,max_iters,num_samples_init,jump_iters,forward_kls,optimizer_methods,lrs,weight_decays
0,16,1000,1024,100000,False,adam,0.001,1e-06
1,16,1000,1024,100000,False,adam,0.01,1e-06
2,16,1000,1024,100000,False,sgd,0.001,1e-06
3,16,1000,1024,100000,False,sgd,0.01,1e-06
4,16,1000,1024,100000,True,adam,0.001,1e-06
5,16,1000,1024,100000,True,adam,0.01,1e-06
6,16,1000,1024,100000,True,sgd,0.001,1e-06
7,16,1000,1024,100000,True,sgd,0.01,1e-06
8,16,1000,2048,100000,False,adam,0.001,1e-06
9,16,1000,2048,100000,False,adam,0.01,1e-06
10,16,1000,2048,100000,False,sgd,0.001,1e-06
11,16,1000,2048,100000,False,sgd,0.01,1e-06
12,16,1000,2048,100000,True,adam,0.001,1e-06
13,16,1000,2048,100000,True,adam,0.01,1e-06
14,16,1000,2048,100000,True,sgd,0.001,1e-06
15,16,1000,2048,100000,True,sgd,0.01,1e-06
16,16,1000,4096,100000,False,adam,0.001,1e-06
17,16,1000,4096,100000,False,adam,0.01,1e-06
18,16,1000,4096,100000,False,sgd,0.001,1e-06
19,16,1000,4096,100000,False,sgd,0.01,1e-06
20,16,1000,4096,100000,True,adam,0.001,1e-06
21,16,1000,4096,100000,True,adam,0.01,1e-06
22,16,1000,4096,100000,True,sgd,0.001,1e-06
23,16,1000,4096,100000,True,sgd,0.01,1e-06
24,32,1000,1024,100000,False,adam,0.001,1e-06
25,32,1000,1024,100000,False,adam,0.01,1e-06
26,32,1000,1024,100000,False,sgd,0.001,1e-06
27,32,1000,1024,100000,False,sgd,0.01,1e-06
28,32,1000,1024,100000,True,adam,0.001,1e-06
29,32,1000,1024,100000,True,adam,0.01,1e-06
30,32,1000,1024,100000,True,sgd,0.001,1e-06
31,32,1000,1024,100000,True,sgd,0.01,1e-06
32,32,1000,2048,100000,False,adam,0.001,1e-06
33,32,1000,2048,100000,False,adam,0.01,1e-06
34,32,1000,2048,100000,False,sgd,0.001,1e-06
35,32,1000,2048,100000,False,sgd,0.01,1e-06
36,32,1000,2048,100000,True,adam,0.001,1e-06
37,32,1000,2048,100000,True,adam,0.01,1e-06
38,32,1000,2048,100000,True,sgd,0.001,1e-06
39,32,1000,2048,100000,True,sgd,0.01,1e-06
40,32,1000,4096,100000,False,adam,0.001,1e-06
41,32,1000,4096,100000,False,adam,0.01,1e-06
42,32,1000,4096,100000,False,sgd,0.001,1e-06
43,32,1000,4096,100000,False,sgd,0.01,1e-06
44,32,1000,4096,100000,True,adam,0.001,1e-06
45,32,1000,4096,100000,True,adam,0.01,1e-06
46,32,1000,4096,100000,True,sgd,0.001,1e-06
47,32,1000,4096,100000,True,sgd,0.01,1e-06
